user_id,role,menu_item_id,tipo,titulo,orden_final,score
bot_Administrador_a86b,Administrador,1,GRUPO,Configuración,1,4.174
bot_Administrador_a86b,Administrador,111,ITEM,Gestión de Usuarios,1,1.2311
bot_Administrador_a86b,Administrador,113,ITEM,Catálogo de Permisos,2,0.7667
bot_Administrador_a86b,Administrador,112,ITEM,Roles de Usuario,3,0.7095
bot_Administrador_a86b,Administrador,114,ITEM,Administración avanzada,4,0.5009
bot_Administrador_a86b,Administrador,15,ITEM,Sucursales,5,0.429
bot_Administrador_a86b,Administrador,12,ITEM,Puntos de Venta,6,0.4806
bot_Administrador_a86b,Administrador,16,ITEM,Catálogo,7,0.0024
bot_Administrador_a86b,Administrador,17,ITEM,Atributos Catalogo,8,0.0074
bot_Administrador_a86b,Administrador,14,ITEM,Datos Clinicas,9,0.0464
bot_Administrador_a86b,Administrador,115,ITEM,Cambio de Clave,10,0.0
bot_Administrador_a86b,Administrador,13,ITEM,Atributos Puntos,11,0.0
bot_Administrador_a86b,Administrador,18,ITEM,Utilitarios XNO,12,0.0
bot_Administrador_a86b,Administrador,3,GRUPO,Reportes,2,0.549
bot_Administrador_a86b,Administrador,33,ITEM,Reporte de ventas,1,0.3148
bot_Administrador_a86b,Administrador,32,ITEM,Reporte de compras,2,0.0137
bot_Administrador_a86b,Administrador,34,ITEM,Reporte de cajas,3,0.0004
bot_Administrador_a86b,Administrador,35,ITEM,Kardex,4,0.0001
bot_Administrador_a86b,Administrador,36,ITEM,Stock valorizado,5,0.0002
bot_Administrador_a86b,Administrador,31,ITEM,Correlatividad,6,0.2189
bot_Administrador_a86b,Administrador,37,ITEM,Reporte descuento,7,0.0001
bot_Administrador_a86b,Administrador,38,ITEM,Reporte anulados,8,0.0002
bot_Administrador_a86b,Administrador,39,ITEM,Reporte nota de créditos,9,0.0004
bot_Administrador_a86b,Administrador,310,ITEM,Reporte docs anulados,10,0.0001
bot_Administrador_a86b,Administrador,7,GRUPO,Caja,3,0.3001
bot_Administrador_a86b,Administrador,74,ITEM,Medio Pago,1,0.2982
bot_Administrador_a86b,Administrador,73,ITEM,Caja General,2,0.0003
bot_Administrador_a86b,Administrador,71,ITEM,Arqueo Caja,3,0.0005
bot_Administrador_a86b,Administrador,75,ITEM,Diferencia de costos,4,0.0004
bot_Administrador_a86b,Administrador,76,ITEM,Gestión de cuentas,5,0.0002
bot_Administrador_a86b,Administrador,72,ITEM,Caja Chica,6,0.0004
bot_Administrador_a86b,Administrador,8,GRUPO,Almacén,4,0.0137
bot_Administrador_a86b,Administrador,81,ITEM,Gestión Almacenes,1,0.0136
bot_Administrador_a86b,Administrador,82,ITEM,Productos,2,0.0001
bot_Administrador_a86b,Administrador,4,GRUPO,Compra,5,0.0014
bot_Administrador_a86b,Administrador,46,ITEM,Estado de cuenta,1,0.0003
bot_Administrador_a86b,Administrador,43,ITEM,Intercambio de Productos,2,0.0001
bot_Administrador_a86b,Administrador,41,ITEM,Orden de compra,3,0.0002
bot_Administrador_a86b,Administrador,42,ITEM,Registrar compra,4,0.0004
bot_Administrador_a86b,Administrador,44,ITEM,Proveedores,5,0.0003
bot_Administrador_a86b,Administrador,45,ITEM,Cuentas por pagar,6,0.0003
bot_Administrador_a86b,Administrador,5,GRUPO,Ventas,6,0.0008
bot_Administrador_a86b,Administrador,51,ITEM,Listado de Ventas,1,0.0
bot_Administrador_a86b,Administrador,52,ITEM,Cotización de venta,2,0.0
bot_Administrador_a86b,Administrador,54,ITEM,Registrar venta,3,0.0
bot_Administrador_a86b,Administrador,58,ITEM,Devoluciones,4,0.0001
bot_Administrador_a86b,Administrador,56,ITEM,Notas de crédito,5,0.0003
bot_Administrador_a86b,Administrador,53,ITEM,Notas de venta,6,0.0002
bot_Administrador_a86b,Administrador,591,ITEM,Gestión de Beneficios,7,0.0001
bot_Administrador_a86b,Administrador,592,ITEM,Convenios,8,0.0001
bot_Administrador_a86b,Administrador,55,ITEM,Anular comprobante,9,0.0
bot_Administrador_a86b,Administrador,57,ITEM,Clientes,10,0.0
bot_Administrador_a86b,Administrador,2,GRUPO,Procesos,7,0.0004
bot_Administrador_a86b,Administrador,26,ITEM,Transferencias,1,0.0001
bot_Administrador_a86b,Administrador,21,ITEM,Ingresos y salidas,2,0.0002
bot_Administrador_a86b,Administrador,22,ITEM,Atributos Diversos,3,0.0
bot_Administrador_a86b,Administrador,23,ITEM,Reimprimir comprobantes,4,0.0
bot_Administrador_a86b,Administrador,24,ITEM,Detalle de documentos,5,0.0
bot_Administrador_a86b,Administrador,25,ITEM,Documento por paciente,6,0.0
bot_Administrador_a86b,Administrador,27,ITEM,Solicitudes de Anulación,7,0.0
bot_Administrador_a86b,Administrador,6,GRUPO,Facturación,8,0.0001
bot_Administrador_a86b,Administrador,61,ITEM,Comprobantes electrónicos,1,0.0001
bot_Administrador_a86b,Administrador,62,ITEM,Resumen de boletas,2,0.0
bot_Administrador_a86b,Administrador,63,ITEM,Resumen de bajas,3,0.0
bot_Administrador_a86b,Administrador,9,GRUPO,Documentos,9,0.0
bot_Administrador_a86b,Administrador,94,ITEM,Formatos de Impresión,1,0.0
bot_Administrador_a86b,Administrador,93,ITEM,Puntos de Emisión,2,0.0
bot_Administrador_a86b,Administrador,91,ITEM,Plantillas,3,0.0
bot_Administrador_a86b,Administrador,92,ITEM,Bloques de plantillas,4,0.0
bot_Caja_1125,Caja,7,GRUPO,Caja,1,3.4772
bot_Caja_1125,Caja,73,ITEM,Caja General,1,1.9228
bot_Caja_1125,Caja,71,ITEM,Arqueo Caja,2,0.6715
bot_Caja_1125,Caja,76,ITEM,Gestión de cuentas,3,0.4462
bot_Caja_1125,Caja,72,ITEM,Caja Chica,4,0.4283
bot_Caja_1125,Caja,74,ITEM,Medio Pago,5,0.0039
bot_Caja_1125,Caja,75,ITEM,Diferencia de costos,6,0.0046
bot_Caja_1125,Caja,5,GRUPO,Ventas,2,0.5548
bot_Caja_1125,Caja,51,ITEM,Listado de Ventas,1,0.0171
bot_Caja_1125,Caja,56,ITEM,Notas de crédito,2,0.5367
bot_Caja_1125,Caja,52,ITEM,Cotización de venta,3,0.0003
bot_Caja_1125,Caja,54,ITEM,Registrar venta,4,0.0003
bot_Caja_1125,Caja,58,ITEM,Devoluciones,5,0.0001
bot_Caja_1125,Caja,53,ITEM,Notas de venta,6,0.0001
bot_Caja_1125,Caja,591,ITEM,Gestión de Beneficios,7,0.0001
bot_Caja_1125,Caja,592,ITEM,Convenios,8,0.0001
bot_Caja_1125,Caja,55,ITEM,Anular comprobante,9,0.0
bot_Caja_1125,Caja,57,ITEM,Clientes,10,0.0
bot_Caja_1125,Caja,3,GRUPO,Reportes,3,0.4987
bot_Caja_1125,Caja,34,ITEM,Reporte de cajas,1,0.4921
bot_Caja_1125,Caja,33,ITEM,Reporte de ventas,2,0.0062
bot_Caja_1125,Caja,32,ITEM,Reporte de compras,3,0.0001
bot_Caja_1125,Caja,35,ITEM,Kardex,4,0.0001
bot_Caja_1125,Caja,36,ITEM,Stock valorizado,5,0.0
bot_Caja_1125,Caja,31,ITEM,Correlatividad,6,0.0001
bot_Caja_1125,Caja,37,ITEM,Reporte descuento,7,0.0
bot_Caja_1125,Caja,38,ITEM,Reporte anulados,8,0.0001
bot_Caja_1125,Caja,39,ITEM,Reporte nota de créditos,9,0.0
bot_Caja_1125,Caja,310,ITEM,Reporte docs anulados,10,0.0
bot_Caja_22f0,Caja,7,GRUPO,Caja,1,3.5492
bot_Caja_22f0,Caja,73,ITEM,Caja General,1,1.8197
bot_Caja_22f0,Caja,71,ITEM,Arqueo Caja,2,0.769
bot_Caja_22f0,Caja,76,ITEM,Gestión de cuentas,3,0.5568
bot_Caja_22f0,Caja,72,ITEM,Caja Chica,4,0.3926
bot_Caja_22f0,Caja,74,ITEM,Medio Pago,5,0.0046
bot_Caja_22f0,Caja,75,ITEM,Diferencia de costos,6,0.0064
bot_Caja_22f0,Caja,5,GRUPO,Ventas,2,0.6114
bot_Caja_22f0,Caja,51,ITEM,Listado de Ventas,1,0.0619
bot_Caja_22f0,Caja,56,ITEM,Notas de crédito,2,0.5489
bot_Caja_22f0,Caja,52,ITEM,Cotización de venta,3,0.0002
bot_Caja_22f0,Caja,54,ITEM,Registrar venta,4,0.0002
bot_Caja_22f0,Caja,58,ITEM,Devoluciones,5,0.0001
bot_Caja_22f0,Caja,53,ITEM,Notas de venta,6,0.0001
bot_Caja_22f0,Caja,591,ITEM,Gestión de Beneficios,7,0.0001
bot_Caja_22f0,Caja,592,ITEM,Convenios,8,0.0001
bot_Caja_22f0,Caja,55,ITEM,Anular comprobante,9,0.0
bot_Caja_22f0,Caja,57,ITEM,Clientes,10,0.0
bot_Caja_22f0,Caja,3,GRUPO,Reportes,3,0.4296
bot_Caja_22f0,Caja,34,ITEM,Reporte de cajas,1,0.4235
bot_Caja_22f0,Caja,33,ITEM,Reporte de ventas,2,0.0057
bot_Caja_22f0,Caja,32,ITEM,Reporte de compras,3,0.0001
bot_Caja_22f0,Caja,35,ITEM,Kardex,4,0.0
bot_Caja_22f0,Caja,36,ITEM,Stock valorizado,5,0.0
bot_Caja_22f0,Caja,31,ITEM,Correlatividad,6,0.0001
bot_Caja_22f0,Caja,37,ITEM,Reporte descuento,7,0.0
bot_Caja_22f0,Caja,38,ITEM,Reporte anulados,8,0.0001
bot_Caja_22f0,Caja,39,ITEM,Reporte nota de créditos,9,0.0001
bot_Caja_22f0,Caja,310,ITEM,Reporte docs anulados,10,0.0
bot_Compras_6cd7,Compras,4,GRUPO,Compra,1,3.1561
bot_Compras_6cd7,Compras,41,ITEM,Orden de compra,1,0.6287
bot_Compras_6cd7,Compras,44,ITEM,Proveedores,2,0.6062
bot_Compras_6cd7,Compras,42,ITEM,Registrar compra,3,0.6692
bot_Compras_6cd7,Compras,45,ITEM,Cuentas por pagar,4,0.8027
bot_Compras_6cd7,Compras,43,ITEM,Intercambio de Productos,5,0.0111
bot_Compras_6cd7,Compras,46,ITEM,Estado de cuenta,6,0.4382
bot_Compras_6cd7,Compras,3,GRUPO,Reportes,2,0.2647
bot_Compras_6cd7,Compras,32,ITEM,Reporte de compras,1,0.1366
bot_Compras_6cd7,Compras,33,ITEM,Reporte de ventas,2,0.0003
bot_Compras_6cd7,Compras,34,ITEM,Reporte de cajas,3,0.0
bot_Compras_6cd7,Compras,36,ITEM,Stock valorizado,4,0.1272
bot_Compras_6cd7,Compras,35,ITEM,Kardex,5,0.0004
bot_Compras_6cd7,Compras,31,ITEM,Correlatividad,6,0.0001
bot_Compras_6cd7,Compras,37,ITEM,Reporte descuento,7,0.0001
bot_Compras_6cd7,Compras,38,ITEM,Reporte anulados,8,0.0
bot_Compras_6cd7,Compras,39,ITEM,Reporte nota de créditos,9,0.0
bot_Compras_6cd7,Compras,310,ITEM,Reporte docs anulados,10,0.0
bot_Compras_6cd7,Compras,8,GRUPO,Almacén,3,0.041
bot_Compras_6cd7,Compras,82,ITEM,Productos,1,0.0407
bot_Compras_6cd7,Compras,81,ITEM,Gestión Almacenes,2,0.0003
bot_Compras_b1d2,Compras,4,GRUPO,Compra,1,3.2091
bot_Compras_b1d2,Compras,41,ITEM,Orden de compra,1,0.6143
bot_Compras_b1d2,Compras,42,ITEM,Registrar compra,2,0.8072
bot_Compras_b1d2,Compras,44,ITEM,Proveedores,3,0.6973
bot_Compras_b1d2,Compras,45,ITEM,Cuentas por pagar,4,0.7074
bot_Compras_b1d2,Compras,46,ITEM,Estado de cuenta,5,0.3563
bot_Compras_b1d2,Compras,43,ITEM,Intercambio de Productos,6,0.0265
bot_Compras_b1d2,Compras,3,GRUPO,Reportes,2,0.2772
bot_Compras_b1d2,Compras,36,ITEM,Stock valorizado,1,0.1814
bot_Compras_b1d2,Compras,33,ITEM,Reporte de ventas,2,0.0004
bot_Compras_b1d2,Compras,32,ITEM,Reporte de compras,3,0.0943
bot_Compras_b1d2,Compras,34,ITEM,Reporte de cajas,4,0.0
bot_Compras_b1d2,Compras,35,ITEM,Kardex,5,0.0008
bot_Compras_b1d2,Compras,31,ITEM,Correlatividad,6,0.0001
bot_Compras_b1d2,Compras,37,ITEM,Reporte descuento,7,0.0001
bot_Compras_b1d2,Compras,38,ITEM,Reporte anulados,8,0.0
bot_Compras_b1d2,Compras,39,ITEM,Reporte nota de créditos,9,0.0
bot_Compras_b1d2,Compras,310,ITEM,Reporte docs anulados,10,0.0
bot_Compras_b1d2,Compras,8,GRUPO,Almacén,3,0.0399
bot_Compras_b1d2,Compras,82,ITEM,Productos,1,0.0395
bot_Compras_b1d2,Compras,81,ITEM,Gestión Almacenes,2,0.0004
bot_Logistica_7037,Logistica,3,GRUPO,Reportes,1,2.6847
bot_Logistica_7037,Logistica,33,ITEM,Reporte de ventas,1,0.0004
bot_Logistica_7037,Logistica,32,ITEM,Reporte de compras,2,0.0045
bot_Logistica_7037,Logistica,34,ITEM,Reporte de cajas,3,0.0001
bot_Logistica_7037,Logistica,35,ITEM,Kardex,4,1.6054
bot_Logistica_7037,Logistica,36,ITEM,Stock valorizado,5,1.0709
bot_Logistica_7037,Logistica,31,ITEM,Correlatividad,6,0.0001
bot_Logistica_7037,Logistica,37,ITEM,Reporte descuento,7,0.0031
bot_Logistica_7037,Logistica,38,ITEM,Reporte anulados,8,0.0001
bot_Logistica_7037,Logistica,39,ITEM,Reporte nota de créditos,9,0.0
bot_Logistica_7037,Logistica,310,ITEM,Reporte docs anulados,10,0.0
bot_Logistica_7037,Logistica,8,GRUPO,Almacén,2,1.7515
bot_Logistica_7037,Logistica,81,ITEM,Gestión Almacenes,1,0.9011
bot_Logistica_7037,Logistica,82,ITEM,Productos,2,0.8504
bot_Logistica_7037,Logistica,2,GRUPO,Procesos,3,0.0172
bot_Logistica_7037,Logistica,26,ITEM,Transferencias,1,0.0092
bot_Logistica_7037,Logistica,21,ITEM,Ingresos y salidas,2,0.008
bot_Logistica_7037,Logistica,22,ITEM,Atributos Diversos,3,0.0
bot_Logistica_7037,Logistica,23,ITEM,Reimprimir comprobantes,4,0.0
bot_Logistica_7037,Logistica,24,ITEM,Detalle de documentos,5,0.0
bot_Logistica_7037,Logistica,25,ITEM,Documento por paciente,6,0.0
bot_Logistica_7037,Logistica,27,ITEM,Solicitudes de Anulación,7,0.0
bot_Logistica_97c4,Logistica,3,GRUPO,Reportes,1,2.6816
bot_Logistica_97c4,Logistica,33,ITEM,Reporte de ventas,1,0.0019
bot_Logistica_97c4,Logistica,32,ITEM,Reporte de compras,2,0.0068
bot_Logistica_97c4,Logistica,34,ITEM,Reporte de cajas,3,0.0003
bot_Logistica_97c4,Logistica,35,ITEM,Kardex,4,1.647
bot_Logistica_97c4,Logistica,36,ITEM,Stock valorizado,5,1.0207
bot_Logistica_97c4,Logistica,31,ITEM,Correlatividad,6,0.0001
bot_Logistica_97c4,Logistica,37,ITEM,Reporte descuento,7,0.0043
bot_Logistica_97c4,Logistica,38,ITEM,Reporte anulados,8,0.0003
bot_Logistica_97c4,Logistica,39,ITEM,Reporte nota de créditos,9,0.0001
bot_Logistica_97c4,Logistica,310,ITEM,Reporte docs anulados,10,0.0
bot_Logistica_97c4,Logistica,8,GRUPO,Almacén,2,1.5574
bot_Logistica_97c4,Logistica,81,ITEM,Gestión Almacenes,1,0.7517
bot_Logistica_97c4,Logistica,82,ITEM,Productos,2,0.8057
bot_Logistica_97c4,Logistica,2,GRUPO,Procesos,3,0.01
bot_Logistica_97c4,Logistica,26,ITEM,Transferencias,1,0.0049
bot_Logistica_97c4,Logistica,21,ITEM,Ingresos y salidas,2,0.0051
bot_Logistica_97c4,Logistica,22,ITEM,Atributos Diversos,3,0.0
