session_id,user_id,role,fecha,hora_inicio,n_clics,duracion_min,M1_pre,M2_pre,M3_pre,costo_sesion_total,M1_post,M2_post,M3_post
us_adm_001_20260101170534,us_adm_001,Administrador,2026-01-01,17,53,165.06,3.0,283.9,0.2264,159.0,3.0,130.11743973499134,0.08007458440558722
us_adm_001_20260102170423,us_adm_001,Administrador,2026-01-02,17,57,175.47,3.0,166.4,0.2982,171.0,3.0,76.76712035802493,0.11537722103135944
us_adm_001_20260103170100,us_adm_001,Administrador,2026-01-03,17,64,174.57,3.0,291.2,0.2969,192.0,3.0,129.20661332625647,0.10444017862060355
us_adm_001_20260104170954,us_adm_001,Administrador,2026-01-04,17,55,166.44,3.0,0.0,0.4,165.0,3.0,10.0,0.14872012299451362
us_adm_001_20260105170113,us_adm_001,Administrador,2026-01-05,17,60,173.07,3.0,0.0,0.4,180.0,3.0,10.0,0.1469211255099781
us_adm_001_20260106170716,us_adm_001,Administrador,2026-01-06,17,52,156.3,3.0,815.8,0.2308,156.0,3.0,358.233070472459,0.08011922371558423
us_adm_001_20260107170645,us_adm_001,Administrador,2026-01-07,17,53,170.31,3.0,200.0,0.3208,159.0,3.0,90.64526844110287,0.10207407136963044
us_adm_001_20260108170010,us_adm_001,Administrador,2026-01-08,17,52,178.73,3.0,1507.4,0.3462,156.0,3.0,623.8958868628166,0.11951026953463231
us_adm_001_20260109170903,us_adm_001,Administrador,2026-01-09,17,57,166.79,3.0,0.0,0.2982,171.0,3.0,10.0,0.10816804205934019
us_adm_001_20260110170431,us_adm_001,Administrador,2026-01-10,17,58,173.42,3.0,303.2,0.1897,174.0,3.0,130.44470974797488,0.062260590724875865
us_adm_001_20260111170152,us_adm_001,Administrador,2026-01-11,17,53,171.55,3.0,2482.7,0.3208,159.0,3.0,1185.9859691333213,0.11290109667543326
us_adm_001_20260112170142,us_adm_001,Administrador,2026-01-12,17,43,177.92,3.0,0.0,0.4186,129.0,3.0,10.0,0.13728265334631132
us_adm_001_20260113170042,us_adm_001,Administrador,2026-01-13,17,49,178.45,3.0,35.4,0.2449,147.0,3.0,15.487480256842625,0.08783829884439895
us_adm_001_20260114170504,us_adm_001,Administrador,2026-01-14,17,58,172.26,3.0,222.5,0.3966,174.0,3.0,94.64420761272883,0.14434874635893727
us_adm_001_20260115170145,us_adm_001,Administrador,2026-01-15,17,56,175.29,3.0,486.5,0.3393,168.0,3.0,212.2961081277352,0.11896459847196737
us_adm_001_20260116170552,us_adm_001,Administrador,2026-01-16,17,52,167.7,3.0,1548.2,0.3462,156.0,3.0,675.5616596847356,0.1362287225366367
us_adm_001_20260117170013,us_adm_001,Administrador,2026-01-17,17,64,179.62,3.0,1847.4,0.4375,192.0,3.0,827.8516271210282,0.1466926100167972
us_adm_001_20260118170402,us_adm_001,Administrador,2026-01-18,17,55,171.4,3.0,46.3,0.3455,165.0,3.0,21.52199916925272,0.11471800263676477
us_adm_001_20260119170333,us_adm_001,Administrador,2026-01-19,17,52,172.99,3.0,241.8,0.2692,156.0,3.0,109.43006434544301,0.0854059102465797
us_adm_001_20260120170118,us_adm_001,Administrador,2026-01-20,17,56,178.25,3.0,490.7,0.2679,168.0,3.0,206.98873050320762,0.096548169598561
us_adm_001_20260121170025,us_adm_001,Administrador,2026-01-21,17,55,178.93,3.0,210.2,0.2909,165.0,3.0,97.3554812442362,0.10468879485351167
us_adm_001_20260122170041,us_adm_001,Administrador,2026-01-22,17,58,171.24,3.0,0.0,0.2931,174.0,3.0,10.0,0.10271089787839112
us_adm_001_20260123170016,us_adm_001,Administrador,2026-01-23,17,55,173.5,3.0,381.8,0.3636,165.0,3.0,159.90419962994147,0.12437109936816661
us_adm_001_20260124170125,us_adm_001,Administrador,2026-01-24,17,49,177.94,3.0,161.7,0.2449,147.0,3.0,71.01448776310316,0.09247278466402027
us_adm_001_20260125170443,us_adm_001,Administrador,2026-01-25,17,58,174.4,3.0,1586.0,0.3793,174.0,3.0,722.0415076289827,0.12182767415561191
us_adm_001_20260126170536,us_adm_001,Administrador,2026-01-26,17,49,167.76,3.0,0.0,0.3469,147.0,3.0,10.0,0.12098136365460066
us_adm_001_20260127170956,us_adm_001,Administrador,2026-01-27,17,59,159.42,3.0,0.0,0.3559,177.0,3.0,10.0,0.1312150408562274
us_adm_001_20260128170055,us_adm_001,Administrador,2026-01-28,17,49,173.17,3.0,693.1,0.2245,147.0,3.0,325.0688121550325,0.08420483483160596
us_adm_001_20260129170334,us_adm_001,Administrador,2026-01-29,17,61,168.78,3.0,736.3,0.3279,183.0,3.0,317.78910210786216,0.11485266911013552
us_adm_001_20260130170303,us_adm_001,Administrador,2026-01-30,17,41,176.0,3.0,996.1,0.2683,123.0,3.0,453.2378171771961,0.10087074289407409
us_adm_001_20260131170802,us_adm_001,Administrador,2026-01-31,17,52,169.86,3.0,0.0,0.2308,156.0,3.0,10.0,0.08141203042178437
us_adm_001_20260201170254,us_adm_001,Administrador,2026-02-01,17,48,173.97,3.0,1399.0,0.3958,144.0,3.0,596.3382958144082,0.13161437675087423
us_adm_001_20260202170345,us_adm_001,Administrador,2026-02-02,17,51,175.32,3.0,73.7,0.3529,153.0,3.0,34.24379209446712,0.1353641163152013
us_adm_001_20260203170136,us_adm_001,Administrador,2026-02-03,17,55,176.49,3.0,45.3,0.2727,165.0,3.0,20.246694313719185,0.1026776232638128
us_adm_001_20260204170152,us_adm_001,Administrador,2026-02-04,17,59,177.18,3.0,0.0,0.322,177.0,3.0,10.0,0.11062284813518174
us_adm_001_20260205170404,us_adm_001,Administrador,2026-02-05,17,53,174.4,3.0,2344.7,0.3585,159.0,3.0,1068.2805113311633,0.1388156254073675
us_adm_001_20260206170510,us_adm_001,Administrador,2026-02-06,17,48,168.3,3.0,0.0,0.375,144.0,3.0,10.0,0.14540418225731477
us_adm_001_20260207170916,us_adm_001,Administrador,2026-02-07,17,55,167.43,3.0,2119.7,0.3636,165.0,3.0,839.3846550894776,0.13558268146342956
us_adm_001_20260208170103,us_adm_001,Administrador,2026-02-08,17,71,178.85,3.0,0.0,0.3662,213.0,3.0,10.0,0.12834265081034932
us_adm_001_20260209170031,us_adm_001,Administrador,2026-02-09,17,62,175.15,3.0,335.7,0.2097,186.0,3.0,151.13963024075616,0.06641203919797033
us_adm_001_20260210170656,us_adm_001,Administrador,2026-02-10,17,54,170.63,3.0,865.1,0.2593,162.0,3.0,384.0989144159903,0.0942798890216664
us_adm_001_20260211170018,us_adm_001,Administrador,2026-02-11,17,57,179.44,3.0,831.6,0.2456,171.0,3.0,397.4590434295603,0.08499877281687213
us_adm_001_20260212170001,us_adm_001,Administrador,2026-02-12,17,60,177.67,3.0,0.0,0.4333,180.0,3.0,10.0,0.1501022573312642
us_adm_001_20260213170251,us_adm_001,Administrador,2026-02-13,17,65,170.97,3.0,476.3,0.2769,195.0,3.0,222.2868947667784,0.10052207525819858
us_adm_001_20260214170211,us_adm_001,Administrador,2026-02-14,17,58,170.32,3.0,0.0,0.3966,174.0,3.0,10.0,0.14543994695687454
us_adm_001_20260215170150,us_adm_001,Administrador,2026-02-15,17,54,174.05,3.0,328.5,0.2222,162.0,3.0,147.93296078953924,0.08350820672502496
us_adm_001_20260216172140,us_adm_001,Administrador,2026-02-16,17,54,155.6,3.0,368.8,0.3889,162.0,3.0,160.18681766988325,0.13607547608182713
us_adm_001_20260217170025,us_adm_001,Administrador,2026-02-17,17,53,178.0,3.0,6.5,0.3019,159.0,3.0,10.0,0.09877603867866216
us_adm_001_20260218170129,us_adm_001,Administrador,2026-02-18,17,49,176.3,3.0,266.2,0.2857,147.0,3.0,120.93718951638215,0.10332989563168753
us_adm_001_20260219170134,us_adm_001,Administrador,2026-02-19,17,63,174.03,3.0,0.0,0.3651,189.0,3.0,10.0,0.12842752862306245
us_adm_001_20260220170846,us_adm_001,Administrador,2026-02-20,17,42,169.13,3.0,0.0,0.4762,126.0,3.0,10.0,0.1657360320104989
us_adm_001_20260221170717,us_adm_001,Administrador,2026-02-21,17,59,172.42,3.0,171.5,0.322,177.0,3.0,75.72287630508738,0.10961075374105152
us_adm_001_20260222170356,us_adm_001,Administrador,2026-02-22,17,59,172.92,3.0,0.0,0.3051,177.0,3.0,10.0,0.11121890542505654
us_adm_001_20260223170030,us_adm_001,Administrador,2026-02-23,17,47,179.1,3.0,0.0,0.3617,141.0,3.0,10.0,0.13019144428512233
us_adm_001_20260224170130,us_adm_001,Administrador,2026-02-24,17,61,176.34,3.0,128.5,0.3115,183.0,3.0,58.27964643964138,0.11057087936413165
us_adm_001_20260225170629,us_adm_001,Administrador,2026-02-25,17,65,172.63,3.0,584.3,0.4154,195.0,3.0,239.56982022317672,0.14784972272276795
us_adm_001_20260226170425,us_adm_001,Administrador,2026-02-26,17,58,171.6,3.0,348.7,0.2414,174.0,3.0,156.77262612929002,0.0979399522739177
us_adm_001_20260227170613,us_adm_001,Administrador,2026-02-27,17,48,170.77,3.0,1861.3,0.3333,144.0,3.0,827.4220739508646,0.12081543716464106
us_adm_001_20260228170201,us_adm_001,Administrador,2026-02-28,17,56,176.63,3.0,0.0,0.3393,168.0,3.0,10.0,0.1130133830947784
us_adm_001_20260301170213,us_adm_001,Administrador,2026-03-01,17,39,173.02,3.0,162.2,0.3333,117.0,3.0,76.43570430706093,0.12381770817653523
us_adm_001_20260302170615,us_adm_001,Administrador,2026-03-02,17,54,168.93,3.0,0.0,0.4444,162.0,3.0,10.0,0.15032446107597797
us_adm_001_20260303170215,us_adm_001,Administrador,2026-03-03,17,53,169.79,3.0,0.0,0.3396,159.0,3.0,10.0,0.11152959532345036
us_adm_001_20260304170021,us_adm_001,Administrador,2026-03-04,17,53,179.64,3.0,114.5,0.2264,159.0,3.0,52.68422532544779,0.09061902823495792
