session_id,user_id,role,fecha,hora_inicio,n_clics,duracion_min,M1_costo_clics,M2_tiempo_top1_s,M3_tasa_error,costo_sesion_total
bot_Administrador_a86b_20260501070940,bot_Administrador_a86b,Administrador,2026-05-01,7,30,65.52,2.767,302.0,0.0,83.0
bot_Administrador_a86b_20260501084937,bot_Administrador_a86b,Administrador,2026-05-01,8,5,28.48,3.0,0.0,0.2,15.0
bot_Administrador_a86b_20260501104200,bot_Administrador_a86b,Administrador,2026-05-01,10,3,1.0,2.0,60.0,0.0,6.0
bot_Administrador_a86b_20260501113524,bot_Administrador_a86b,Administrador,2026-05-01,11,7,30.75,2.571,1032.0,0.1429,18.0
bot_Administrador_a86b_20260501131157,bot_Administrador_a86b,Administrador,2026-05-01,13,11,75.72,2.909,7.0,0.0909,32.0
bot_Administrador_a86b_20260501172034,bot_Administrador_a86b,Administrador,2026-05-01,17,2,22.1,3.0,0.0,0.0,6.0
bot_Administrador_a86b_20260501181331,bot_Administrador_a86b,Administrador,2026-05-01,18,5,33.3,2.8,723.0,0.0,14.0
bot_Administrador_a86b_20260502070314,bot_Administrador_a86b,Administrador,2026-05-02,7,2,1.27,3.0,0.0,0.0,6.0
bot_Administrador_a86b_20260502131115,bot_Administrador_a86b,Administrador,2026-05-02,13,3,0.47,2.0,28.0,0.0,6.0
bot_Administrador_a86b_20260502154913,bot_Administrador_a86b,Administrador,2026-05-02,15,2,9.67,3.0,0.0,0.5,6.0
bot_Administrador_a86b_20260502182035,bot_Administrador_a86b,Administrador,2026-05-02,18,7,20.6,2.571,0.0,0.0,18.0
bot_Administrador_a86b_20260503070351,bot_Administrador_a86b,Administrador,2026-05-03,7,19,87.78,2.579,870.0,0.0,49.0
bot_Administrador_a86b_20260503182853,bot_Administrador_a86b,Administrador,2026-05-03,18,4,8.4,2.0,504.0,0.25,8.0
bot_Administrador_a86b_20260504070018,bot_Administrador_a86b,Administrador,2026-05-04,7,23,61.22,2.609,350.0,0.0435,60.0
bot_Administrador_a86b_20260504083621,bot_Administrador_a86b,Administrador,2026-05-04,8,4,36.33,2.25,2180.0,0.5,9.0
