role,ruta,accesos
Administrador,configuracion/seguridad/users,154
Administrador,configuracion/seguridad/roles,102
Administrador,configuracion/seguridad/permisos,95
Administrador,configuracion/seguridad/admin,66
Administrador,configuracion/puntos-venta,58
Administrador,configuracion/sucursales,48
Administrador,reportes/ventas,27
Administrador,caja/medio-pago,25
Administrador,reportes/correlatividad,16
Administrador,configuracion/empresas,10
Administrador,configuracion/atributos-producto,7
Administrador,configuracion/catalogo-productos,7
Administrador,reportes/compras,1
Administrador,almacen/almacenes,1
Caja,caja/general,376
Caja,caja/arqueos,185
Caja,reportes/cajas,139
Caja,venta/notas-credito,111
Caja,caja/cuentas,105
Caja,caja/chica,63
Caja,reportes/ventas,25
Caja,caja/diferencia-costos,12
Caja,caja/medio-pago,11
Caja,venta/listado,5
Compras,compra/registrar,165
Compras,compra/orden,163
Compras,compra/pagos-pendientes,160
Compras,compra/proveedores,159
Compras,compra/estado-cuenta,92
Compras,compra/intercambio,35
Compras,reportes/compras,29
Compras,reportes/stock-valorizado,19
Compras,almacen/productos,12
Logistica,reportes/kardex,441
Logistica,reportes/stock-valorizado,327
Logistica,almacen/productos,246
Logistica,almacen/almacenes,205
Logistica,compra/intercambio,65
Logistica,configuracion/catalogo-productos,27
Logistica,procesos/historial-movimientos,20
Logistica,procesos/transferencias,19
Logistica,reportes/compras,16
Logistica,reportes/descuento,12
Logistica,configuracion/atributos-producto,2
Reportes,reportes/ventas,151
Reportes,reportes/compras,116
Reportes,reportes/cajas,114
Reportes,reportes/stock-valorizado,70
Reportes,reportes/kardex,41
Reportes,reportes/comprobantes-anulados,36
Reportes,reportes/nota-credito,15
Reportes,reportes/correlatividad,14
Reportes,reportes/descuento,12
Reportes,venta/listado,3
Reportes,reportes/documentos-anulados,1
Ventas,venta/listado,448
Ventas,venta/cotizaciones,401
Ventas,venta/venta,388
Ventas,venta/devoluciones,210
Ventas,configuracion/catalogo-productos,85
Ventas,reportes/ventas,76
Ventas,almacen/productos,45
Ventas,venta/notas-credito,35
Ventas,venta/notas-venta,20
Ventas,venta/descuentos/convenio,14
Ventas,venta/descuentos/lista,13
Ventas,venta/comprobante-electronico,8
Ventas,reportes/descuento,1
