user_id,role,M1_original,M1_adaptado,reduccion_pct
bot_Caja_1125,Caja,3.3644,1.7583,47.74
syn_Caja_ac1c,Caja,3.3829,1.7741,47.56
bot_Caja_22f0,Caja,3.3717,1.7997,46.62
syn_Caja_105a,Caja,3.2287,1.8329,43.23
syn_Caja_d197,Caja,3.4028,1.9659,42.23
bot_Ventas_9a82,Ventas,2.9675,2.0506,30.9
bot_Ventas_c334,Ventas,2.8752,2.0427,28.95
bot_Ventas_9525,Ventas,2.8544,2.0516,28.13
syn_Ventas_a940,Ventas,3.8643,2.962,23.35
syn_Ventas_4aed,Ventas,3.46,2.7203,21.38
syn_Ventas_e0e2,Ventas,3.6474,2.8733,21.22
syn_Ventas_6a40,Ventas,3.4151,2.6942,21.11
bot_Reportes_8c97,Reportes,4.2223,3.3352,21.01
bot_Compras_b1d2,Compras,3.4415,2.7231,20.87
bot_Logistica_97c4,Logistica,3.9566,3.3233,16.01
bot_Logistica_7037,Logistica,3.8514,3.2418,15.83
syn_Logistica_2864,Logistica,4.047,3.4075,15.8
syn_Reportes_f207,Reportes,3.7168,3.1326,15.72
syn_Administrador_5b1d,Administrador,3.8808,3.2927,15.15
bot_Compras_6cd7,Compras,3.5212,3.0144,14.39
bot_Administrador_a86b,Administrador,3.2939,2.8602,13.17
syn_Reportes_69a4,Reportes,3.7033,3.2556,12.09
syn_Administrador_9a0c,Administrador,3.3048,2.9167,11.74
syn_Compras_fb52,Compras,3.2936,2.9139,11.53
syn_Logistica_1d0a,Logistica,4.0501,3.6043,11.01
syn_Compras_df03,Compras,3.0403,2.7145,10.72
syn_Logistica_0ca2,Logistica,4.0163,3.6575,8.93
syn_Compras_9e03,Compras,3.1947,2.971,7.0
