session_id,user_id,role,fecha,hora_inicio,n_clics,duracion_min,M1_pre,M2_pre,M3_pre,costo_sesion_total,M1_post,M2_post,M3_post,delta_M1,delta_M2,delta_M3,red_M1_pct,red_M2_pct,red_M3_pct
bot_Administrador_a86b_20260501070940,bot_Administrador_a86b,Administrador,2026-05-01,7,30,65.52,2.767,302.0,0.0,83.0,2.471306503069104,251.5922090523151,0.0,0.29569349693089597,50.4077909476849,0.0,10.69,16.69,
bot_Administrador_a86b_20260501084937,bot_Administrador_a86b,Administrador,2026-05-01,8,5,28.48,3.0,0.0,0.2,15.0,2.8333544784612035,0.0,0.1602586304305082,0.16664552153879653,0.0,0.03974136956949181,5.55,,19.87
bot_Administrador_a86b_20260501104200,bot_Administrador_a86b,Administrador,2026-05-01,10,3,1.0,2.0,60.0,0.0,6.0,1.894521281550739,52.70230418745873,0.0,0.10547871844926093,7.297695812541271,0.0,5.27,12.16,
bot_Administrador_a86b_20260501113524,bot_Administrador_a86b,Administrador,2026-05-01,11,7,30.75,2.571,1032.0,0.1429,18.0,2.302145393602976,842.967647050877,0.11285006091074051,0.2688546063970243,189.03235294912304,0.030049939089259486,10.46,18.32,21.03
bot_Administrador_a86b_20260501131157,bot_Administrador_a86b,Administrador,2026-05-01,13,11,75.72,2.909,7.0,0.0909,32.0,2.5610781123992794,5.21035191436977,0.06606194845122826,0.3479218876007204,1.7896480856302297,0.024838051548771736,11.96,25.57,27.32
bot_Administrador_a86b_20260501172034,bot_Administrador_a86b,Administrador,2026-05-01,17,2,22.1,3.0,0.0,0.0,6.0,2.520556870613854,0.0,0.0,0.4794431293861461,0.0,0.0,15.98,,
bot_Administrador_a86b_20260501181331,bot_Administrador_a86b,Administrador,2026-05-01,18,5,33.3,2.8,723.0,0.0,14.0,2.30411662942703,556.2652211967292,0.0,0.4958833705729697,166.73477880327084,0.0,17.71,23.06,
bot_Administrador_a86b_20260502070314,bot_Administrador_a86b,Administrador,2026-05-02,7,2,1.27,3.0,0.0,0.0,6.0,2.57103355492702,0.0,0.0,0.4289664450729802,0.0,0.0,14.3,,
bot_Administrador_a86b_20260502131115,bot_Administrador_a86b,Administrador,2026-05-02,13,3,0.47,2.0,28.0,0.0,6.0,1.6821617275474816,23.67529162559381,0.0,0.3178382724525184,4.324708374406189,0.0,15.89,15.45,
bot_Administrador_a86b_20260502154913,bot_Administrador_a86b,Administrador,2026-05-02,15,2,9.67,3.0,0.0,0.5,6.0,2.6612547027518505,0.0,0.3992076562551681,0.3387452972481495,0.0,0.10079234374483192,11.29,,20.16
bot_Administrador_a86b_20260502182035,bot_Administrador_a86b,Administrador,2026-05-02,18,7,20.6,2.571,0.0,0.0,18.0,2.1550499149979108,0.0,0.0,0.4159500850020894,0.0,0.0,16.18,,
bot_Administrador_a86b_20260503070351,bot_Administrador_a86b,Administrador,2026-05-03,7,19,87.78,2.579,870.0,0.0,49.0,2.102953875711137,766.5807036764887,0.0,0.4760461242888634,103.41929632351128,0.0,18.46,11.89,
bot_Administrador_a86b_20260503182853,bot_Administrador_a86b,Administrador,2026-05-03,18,4,8.4,2.0,504.0,0.25,8.0,1.7574863595004755,373.97631287822963,0.1866476743887696,0.2425136404995245,130.02368712177037,0.06335232561123039,12.13,25.8,25.34
