user_id,role,Q1,Q2,Q3,Q4,Q5,promedio
bot_Administrador_a86b,Administrador,2.9,3.3,3.9,4.1,3.5,3.54
bot_Caja_1125,Caja,3.8,5.0,5.0,4.9,4.5,4.64
bot_Caja_22f0,Caja,3.7,3.8,4.6,4.6,5.0,4.34
bot_Compras_6cd7,Compras,4.3,3.0,4.6,3.5,3.9,3.86
bot_Compras_b1d2,Compras,4.1,5.0,5.0,4.4,4.0,4.5
bot_Logistica_7037,Logistica,4.0,4.3,3.6,4.9,4.0,4.16
bot_Logistica_97c4,Logistica,4.0,4.1,4.1,4.4,3.5,4.02
bot_Reportes_8c97,Reportes,3.1,2.8,3.8,4.0,3.9,3.52
bot_Ventas_9525,Ventas,4.6,3.6,4.1,3.1,3.6,3.8
bot_Ventas_9a82,Ventas,4.0,4.2,3.5,3.7,2.9,3.66
bot_Ventas_c334,Ventas,3.4,4.2,4.0,4.1,3.8,3.9
syn_Administrador_5b1d,Administrador,3.5,3.2,4.0,3.9,4.0,3.72
syn_Administrador_9a0c,Administrador,3.2,2.3,4.3,3.4,3.2,3.28
syn_Caja_105a,Caja,4.6,4.0,4.9,4.7,4.8,4.6
syn_Caja_ac1c,Caja,3.4,5.0,4.5,4.1,4.5,4.3
syn_Caja_d197,Caja,3.1,4.5,3.7,3.5,3.5,3.66
syn_Compras_9e03,Compras,4.6,3.6,4.9,3.7,3.1,3.98
syn_Compras_df03,Compras,3.2,4.7,3.9,3.7,4.2,3.94
syn_Compras_fb52,Compras,4.2,4.6,4.9,3.8,3.3,4.16
syn_Logistica_0ca2,Logistica,3.5,3.9,3.2,3.3,4.1,3.6
syn_Logistica_1d0a,Logistica,3.7,3.8,3.3,3.7,3.3,3.56
syn_Logistica_2864,Logistica,4.2,4.4,2.7,3.3,3.0,3.52
syn_Reportes_69a4,Reportes,3.0,3.4,2.6,3.0,3.0,3.0
syn_Reportes_f207,Reportes,3.5,3.5,3.1,3.7,3.3,3.42
syn_Ventas_4aed,Ventas,3.4,4.7,4.5,3.0,4.3,3.98
syn_Ventas_6a40,Ventas,4.1,3.0,4.2,4.7,3.1,3.82
syn_Ventas_a940,Ventas,3.0,4.3,3.9,4.1,4.0,3.86
syn_Ventas_e0e2,Ventas,3.8,2.9,4.3,4.5,3.7,3.84
