session_id,user_id,role,fecha,hora_inicio,n_clics,duracion_min,M1_costo_clics,M2_tiempo_top1_s,M3_tasa_error,costo_sesion_total
us_adm_001_20260101170534,us_adm_001,Administrador,2026-01-01,17,53,165.06,3.0,283.9,0.2264,159.0
us_adm_001_20260102170423,us_adm_001,Administrador,2026-01-02,17,57,175.47,3.0,166.4,0.2982,171.0
us_adm_001_20260103170100,us_adm_001,Administrador,2026-01-03,17,64,174.57,3.0,291.2,0.2969,192.0
us_adm_001_20260104170954,us_adm_001,Administrador,2026-01-04,17,55,166.44,3.0,0.0,0.4,165.0
us_adm_001_20260105170113,us_adm_001,Administrador,2026-01-05,17,60,173.07,3.0,0.0,0.4,180.0
us_adm_001_20260106170716,us_adm_001,Administrador,2026-01-06,17,52,156.3,3.0,815.8,0.2308,156.0
us_adm_001_20260107170645,us_adm_001,Administrador,2026-01-07,17,53,170.31,3.0,200.0,0.3208,159.0
us_adm_001_20260108170010,us_adm_001,Administrador,2026-01-08,17,52,178.73,3.0,1507.4,0.3462,156.0
us_adm_001_20260109170903,us_adm_001,Administrador,2026-01-09,17,57,166.79,3.0,0.0,0.2982,171.0
us_adm_001_20260110170431,us_adm_001,Administrador,2026-01-10,17,58,173.42,3.0,303.2,0.1897,174.0
us_adm_001_20260111170152,us_adm_001,Administrador,2026-01-11,17,53,171.55,3.0,2482.7,0.3208,159.0
us_adm_001_20260112170142,us_adm_001,Administrador,2026-01-12,17,43,177.92,3.0,0.0,0.4186,129.0
us_adm_001_20260113170042,us_adm_001,Administrador,2026-01-13,17,49,178.45,3.0,35.4,0.2449,147.0
us_adm_001_20260114170504,us_adm_001,Administrador,2026-01-14,17,58,172.26,3.0,222.5,0.3966,174.0
us_adm_001_20260115170145,us_adm_001,Administrador,2026-01-15,17,56,175.29,3.0,486.5,0.3393,168.0
us_adm_001_20260116170552,us_adm_001,Administrador,2026-01-16,17,52,167.7,3.0,1548.2,0.3462,156.0
us_adm_001_20260117170013,us_adm_001,Administrador,2026-01-17,17,64,179.62,3.0,1847.4,0.4375,192.0
us_adm_001_20260118170402,us_adm_001,Administrador,2026-01-18,17,55,171.4,3.0,46.3,0.3455,165.0
us_adm_001_20260119170333,us_adm_001,Administrador,2026-01-19,17,52,172.99,3.0,241.8,0.2692,156.0
us_adm_001_20260120170118,us_adm_001,Administrador,2026-01-20,17,56,178.25,3.0,490.7,0.2679,168.0
us_adm_001_20260121170025,us_adm_001,Administrador,2026-01-21,17,55,178.93,3.0,210.2,0.2909,165.0
us_adm_001_20260122170041,us_adm_001,Administrador,2026-01-22,17,58,171.24,3.0,0.0,0.2931,174.0
us_adm_001_20260123170016,us_adm_001,Administrador,2026-01-23,17,55,173.5,3.0,381.8,0.3636,165.0
us_adm_001_20260124170125,us_adm_001,Administrador,2026-01-24,17,49,177.94,3.0,161.7,0.2449,147.0
us_adm_001_20260125170443,us_adm_001,Administrador,2026-01-25,17,58,174.4,3.0,1586.0,0.3793,174.0
us_adm_001_20260126170536,us_adm_001,Administrador,2026-01-26,17,49,167.76,3.0,0.0,0.3469,147.0
us_adm_001_20260127170956,us_adm_001,Administrador,2026-01-27,17,59,159.42,3.0,0.0,0.3559,177.0
us_adm_001_20260128170055,us_adm_001,Administrador,2026-01-28,17,49,173.17,3.0,693.1,0.2245,147.0
us_adm_001_20260129170334,us_adm_001,Administrador,2026-01-29,17,61,168.78,3.0,736.3,0.3279,183.0
us_adm_001_20260130170303,us_adm_001,Administrador,2026-01-30,17,41,176.0,3.0,996.1,0.2683,123.0
us_adm_001_20260131170802,us_adm_001,Administrador,2026-01-31,17,52,169.86,3.0,0.0,0.2308,156.0
us_adm_001_20260201170254,us_adm_001,Administrador,2026-02-01,17,48,173.97,3.0,1399.0,0.3958,144.0
us_adm_001_20260202170345,us_adm_001,Administrador,2026-02-02,17,51,175.32,3.0,73.7,0.3529,153.0
us_adm_001_20260203170136,us_adm_001,Administrador,2026-02-03,17,55,176.49,3.0,45.3,0.2727,165.0
us_adm_001_20260204170152,us_adm_001,Administrador,2026-02-04,17,59,177.18,3.0,0.0,0.322,177.0
us_adm_001_20260205170404,us_adm_001,Administrador,2026-02-05,17,53,174.4,3.0,2344.7,0.3585,159.0
us_adm_001_20260206170510,us_adm_001,Administrador,2026-02-06,17,48,168.3,3.0,0.0,0.375,144.0
us_adm_001_20260207170916,us_adm_001,Administrador,2026-02-07,17,55,167.43,3.0,2119.7,0.3636,165.0
us_adm_001_20260208170103,us_adm_001,Administrador,2026-02-08,17,71,178.85,3.0,0.0,0.3662,213.0
