role,ruta,accesos
Administrador,dashboard,1960
Administrador,configuraciones/seguridad/usuarios,1660
Administrador,configuraciones/seguridad/roles,1607
Administrador,configuraciones/seguridad/permisos,1600
Administrador,documentos/bloque,1568
Administrador,configuraciones/sucursales/editar,1551
Administrador,documentos,39
Administrador,configuraciones/sucursales,29
Administrador,configuraciones,23
Administrador,documentos/formato,18
Administrador,documentos/punto-documento,15
Administrador,configuraciones/seguridad,1
Almacen,dashboard,6732
Almacen,configuraciones/catalogo,2741
Almacen,procesos/movimientos/detalle,2473
Almacen,procesos/movimientos/mixto,2425
Almacen,reportes/inventario,1596
Almacen,configuraciones,1040
Almacen,unidad-medida,555
Almacen,reportes,547
Almacen,atributos,494
Almacen,procesos,11
Almacen,procesos/movimientos,8
Almacen,configuraciones/puntos,6
Compras,dashboard,11708
Compras,compra/registro,4608
Compras,compra/orden/aprobar,2451
Compras,compra/registro/guardar,2435
Compras,compra/orden,2227
Compras,compra,2186
Compras,reportes,2097
Compras,reportes/compras,2080
Compras,configuraciones,29
Compras,configuraciones/catalogo,28
Ventas,dashboard,12683
Ventas,ventas/exito,4969
Ventas,ventas,3444
Ventas,procesos/movimientos,2471
Ventas,ventas/registro,1576
Ventas,ventas/descuentos,1191
Ventas,mi-perfil,1140
Ventas,ventas/pago,2
Ventas,documentos/bloque,1
Ventas,procesos,1
Ventas,documentos,1
